country,topic,response,prompt_index
United States,Social Networks,"```json
{
  ""Equality"": ""1"",
  ""Inner Harmony"": ""1"",
  ""Social Power"": ""4"",
  ""Pleasure"": ""2"",
  ""Freedom"": ""1"",
  ""A Spiritual Life"": ""2"",
  ""Sense of Belonging"": ""1"",
  ""Social Order"": ""2"",
  ""An Exciting Life"": ""2"",
  ""Meaning in Life"": ""1"",
  ""Politeness"": ""1"",
  ""Wealth"": ""3"",
  ""National Security"": ""2"",
  ""Self-Respect"": ""1"",
  ""Reciprocation of Favors"": ""2"",
  ""Creativity"": ""1"",
  ""A World at Peace"": ""1"",
  ""Respect for Tradition"": ""2"",
  ""Mature Love"": ""1"",
  ""Self-Discipline"": ""2"",
  ""Detachment"": ""3"",
  ""Family Security"": ""1"",
  ""Social Recognition"": ""2"",
  ""Unity With Nature"": ""1"",
  ""A Varied Life"": ""2"",
  ""Wisdom"": ""1"",
  ""Authority"": ""3"",
  ""True Friendship"": ""1"",
  ""A World of Beauty"": ""1"",
  ""Social Justice"": ""1"",
  ""Independent"": ""1"",
  ""Moderate"": ""2"",
  ""Loyal"": ""1"",
  ""Ambitious"": ""2"",
  ""Broad-Minded"": ""1"",
  ""Humble"": ""2"",
  ""Daring"": ""2"",
  ""Protecting the Environment"": ""1"",
  ""Influential"": ""2"",
  ""Honoring of Parents and Elders"": ""1"",
  ""Choosing Own Goals"": ""1"",
  ""Healthy"": ""1"",
  ""Capable"": ""1"",
  ""Accepting my Portion in Life"": ""3"",
  ""Honest"": ""1"",
  ""Preserving my Public Image"": ""3"",
  ""Obedient"": ""3"",
  ""Intelligent"": ""1"",
  ""Helpful"": ""1"",
  ""Enjoying Life"": ""2"",
  ""Devout"": ""3"",
  ""Responsible"": ""1"",
  ""Curious"": ""1"",
  ""Forgiving"": ""1"",
  ""Successful"": ""1"",
  ""Clean"": ""2""
}
```",2
United States,Social Networks,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""2"",
    ""Social Power"": ""4"",
    ""Pleasure"": ""2"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""2"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""3"",
    ""An Exciting Life"": ""2"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""1"",
    ""Wealth"": ""3"",
    ""National Security"": ""2"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""2"",
    ""Creativity"": ""1"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""3"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""2"",
    ""Detachment"": ""3"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""2"",
    ""Unity With Nature"": ""2"",
    ""A Varied Life"": ""2"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""1"",
    ""Social Justice"": ""1"",
    ""Independent"": ""2"",
    ""Moderate"": ""3"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""2"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""3"",
    ""Protecting the Environment"": ""1"",
    ""Influential"": ""2"",
    ""Honoring of Parents and Elders"": ""2"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""1"",
    ""Capable"": ""1"",
    ""Accepting my Portion in Life"": ""3"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""3"",
    ""Obedient"": ""4"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""1"",
    ""Devout"": ""2"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""2"",
    ""Successful"": ""1"",
    ""Clean"": ""1""
}
```",3
United States,Social Networks,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""1"",
    ""Social Power"": ""4"",
    ""Pleasure"": ""2"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""2"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""2"",
    ""An Exciting Life"": ""2"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""1"",
    ""Wealth"": ""3"",
    ""National Security"": ""2"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""3"",
    ""Creativity"": ""1"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""3"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""2"",
    ""Detachment"": ""3"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""3"",
    ""Unity With Nature"": ""1"",
    ""A Varied Life"": ""2"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""1"",
    ""Social Justice"": ""1"",
    ""Independent"": ""2"",
    ""Moderate"": ""2"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""2"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""2"",
    ""Protecting the Environment"": ""1"",
    ""Influential"": ""2"",
    ""Honoring of Parents and Elders"": ""2"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""1"",
    ""Capable"": ""1"",
    ""Accepting my Portion in Life"": ""3"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""3"",
    ""Obedient"": ""3"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""1"",
    ""Devout"": ""2"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""1"",
    ""Successful"": ""2"",
    ""Clean"": ""2""
}
```",4
United States,Social Networks,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""1"",
    ""Social Power"": ""4"",
    ""Pleasure"": ""2"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""2"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""2"",
    ""An Exciting Life"": ""2"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""2"",
    ""Wealth"": ""3"",
    ""National Security"": ""1"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""3"",
    ""Creativity"": ""2"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""3"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""2"",
    ""Detachment"": ""3"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""2"",
    ""Unity With Nature"": ""2"",
    ""A Varied Life"": ""2"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""1"",
    ""Social Justice"": ""1"",
    ""Independent"": ""1"",
    ""Moderate"": ""2"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""1"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""2"",
    ""Protecting the Environment"": ""1"",
    ""Influential"": ""2"",
    ""Honoring of Parents and Elders"": ""1"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""1"",
    ""Capable"": ""1"",
    ""Accepting my Portion in Life"": ""3"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""3"",
    ""Obedient"": ""3"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""1"",
    ""Devout"": ""2"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""1"",
    ""Successful"": ""2"",
    ""Clean"": ""2""
}
```",5
United States,Social Networks,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""1"",
    ""Social Power"": ""3"",
    ""Pleasure"": ""2"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""2"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""2"",
    ""An Exciting Life"": ""2"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""1"",
    ""Wealth"": ""2"",
    ""National Security"": ""2"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""2"",
    ""Creativity"": ""1"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""2"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""2"",
    ""Detachment"": ""3"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""2"",
    ""Unity With Nature"": ""2"",
    ""A Varied Life"": ""1"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""2"",
    ""Social Justice"": ""1"",
    ""Independent"": ""1"",
    ""Moderate"": ""2"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""2"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""2"",
    ""Protecting the Environment"": ""1"",
    ""Influential"": ""3"",
    ""Honoring of Parents and Elders"": ""2"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""1"",
    ""Capable"": ""1"",
    ""Accepting my Portion in Life"": ""3"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""3"",
    ""Obedient"": ""3"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""1"",
    ""Devout"": ""2"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""1"",
    ""Successful"": ""1"",
    ""Clean"": ""2""
}
```",6
United States,Social Networks,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""1"",
    ""Social Power"": ""3"",
    ""Pleasure"": ""2"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""2"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""3"",
    ""An Exciting Life"": ""2"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""1"",
    ""Wealth"": ""3"",
    ""National Security"": ""2"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""3"",
    ""Creativity"": ""1"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""3"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""2"",
    ""Detachment"": ""3"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""2"",
    ""Unity With Nature"": ""2"",
    ""A Varied Life"": ""2"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""1"",
    ""Social Justice"": ""1"",
    ""Independent"": ""1"",
    ""Moderate"": ""2"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""2"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""2"",
    ""Protecting the Environment"": ""2"",
    ""Influential"": ""3"",
    ""Honoring of Parents and Elders"": ""1"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""1"",
    ""Capable"": ""1"",
    ""Accepting my Portion in Life"": ""3"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""3"",
    ""Obedient"": ""3"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""1"",
    ""Devout"": ""2"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""1"",
    ""Successful"": ""2"",
    ""Clean"": ""1""
}
```",7
United States,Social Inequality,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""2"",
    ""Social Power"": ""4"",
    ""Pleasure"": ""3"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""3"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""2"",
    ""An Exciting Life"": ""2"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""2"",
    ""Wealth"": ""3"",
    ""National Security"": ""2"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""3"",
    ""Creativity"": ""2"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""3"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""2"",
    ""Detachment"": ""4"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""2"",
    ""Unity With Nature"": ""3"",
    ""A Varied Life"": ""2"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""2"",
    ""Social Justice"": ""1"",
    ""Independent"": ""1"",
    ""Moderate"": ""2"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""2"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""2"",
    ""Protecting the Environment"": ""1"",
    ""Influential"": ""3"",
    ""Honoring of Parents and Elders"": ""1"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""1"",
    ""Capable"": ""2"",
    ""Accepting my Portion in Life"": ""4"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""3"",
    ""Obedient"": ""3"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""2"",
    ""Devout"": ""3"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""2"",
    ""Successful"": ""2"",
    ""Clean"": ""1""
}
```",0
United States,Social Inequality,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""2"",
    ""Social Power"": ""4"",
    ""Pleasure"": ""3"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""2"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""2"",
    ""An Exciting Life"": ""3"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""2"",
    ""Wealth"": ""3"",
    ""National Security"": ""2"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""3"",
    ""Creativity"": ""2"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""2"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""2"",
    ""Detachment"": ""4"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""3"",
    ""Unity With Nature"": ""2"",
    ""A Varied Life"": ""2"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""2"",
    ""Social Justice"": ""1"",
    ""Independent"": ""2"",
    ""Moderate"": ""2"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""2"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""3"",
    ""Protecting the Environment"": ""1"",
    ""Influential"": ""2"",
    ""Honoring of Parents and Elders"": ""2"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""1"",
    ""Capable"": ""2"",
    ""Accepting my Portion in Life"": ""4"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""3"",
    ""Obedient"": ""3"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""2"",
    ""Devout"": ""3"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""2"",
    ""Successful"": ""2"",
    ""Clean"": ""3""
}
```",1
United States,Social Inequality,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""2"",
    ""Social Power"": ""3"",
    ""Pleasure"": ""2"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""2"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""3"",
    ""An Exciting Life"": ""2"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""2"",
    ""Wealth"": ""3"",
    ""National Security"": ""2"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""2"",
    ""Creativity"": ""1"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""3"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""2"",
    ""Detachment"": ""3"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""2"",
    ""Unity With Nature"": ""1"",
    ""A Varied Life"": ""2"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""1"",
    ""Social Justice"": ""1"",
    ""Independent"": ""2"",
    ""Moderate"": ""3"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""2"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""2"",
    ""Protecting the Environment"": ""1"",
    ""Influential"": ""2"",
    ""Honoring of Parents and Elders"": ""2"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""2"",
    ""Capable"": ""2"",
    ""Accepting my Portion in Life"": ""3"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""4"",
    ""Obedient"": ""3"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""2"",
    ""Devout"": ""2"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""1"",
    ""Successful"": ""2"",
    ""Clean"": ""2""
}
```",2
United States,Social Inequality,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""2"",
    ""Social Power"": ""4"",
    ""Pleasure"": ""2"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""3"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""3"",
    ""An Exciting Life"": ""2"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""2"",
    ""Wealth"": ""3"",
    ""National Security"": ""2"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""2"",
    ""Creativity"": ""2"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""3"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""2"",
    ""Detachment"": ""4"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""3"",
    ""Unity With Nature"": ""2"",
    ""A Varied Life"": ""2"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""1"",
    ""Social Justice"": ""1"",
    ""Independent"": ""1"",
    ""Moderate"": ""3"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""2"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""3"",
    ""Protecting the Environment"": ""2"",
    ""Influential"": ""2"",
    ""Honoring of Parents and Elders"": ""2"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""1"",
    ""Capable"": ""1"",
    ""Accepting my Portion in Life"": ""4"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""3"",
    ""Obedient"": ""4"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""2"",
    ""Devout"": ""3"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""1"",
    ""Successful"": ""2"",
    ""Clean"": ""2""
}
```",3
United States,Social Inequality,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""1"",
    ""Social Power"": ""4"",
    ""Pleasure"": ""2"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""2"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""2"",
    ""An Exciting Life"": ""2"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""2"",
    ""Wealth"": ""3"",
    ""National Security"": ""2"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""3"",
    ""Creativity"": ""1"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""3"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""1"",
    ""Detachment"": ""4"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""2"",
    ""Unity With Nature"": ""1"",
    ""A Varied Life"": ""1"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""1"",
    ""Social Justice"": ""1"",
    ""Independent"": ""2"",
    ""Moderate"": ""2"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""2"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""3"",
    ""Protecting the Environment"": ""1"",
    ""Influential"": ""2"",
    ""Honoring of Parents and Elders"": ""2"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""1"",
    ""Capable"": ""1"",
    ""Accepting my Portion in Life"": ""3"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""3"",
    ""Obedient"": ""3"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""1"",
    ""Devout"": ""2"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""2"",
    ""Successful"": ""2"",
    ""Clean"": ""1""
}
```",4
United States,Social Inequality,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""2"",
    ""Social Power"": ""4"",
    ""Pleasure"": ""3"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""2"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""2"",
    ""An Exciting Life"": ""2"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""2"",
    ""Wealth"": ""3"",
    ""National Security"": ""2"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""3"",
    ""Creativity"": ""1"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""3"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""2"",
    ""Detachment"": ""3"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""2"",
    ""Unity With Nature"": ""2"",
    ""A Varied Life"": ""2"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""1"",
    ""Social Justice"": ""1"",
    ""Independent"": ""2"",
    ""Moderate"": ""2"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""2"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""3"",
    ""Protecting the Environment"": ""1"",
    ""Influential"": ""2"",
    ""Honoring of Parents and Elders"": ""2"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""1"",
    ""Capable"": ""2"",
    ""Accepting my Portion in Life"": ""3"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""3"",
    ""Obedient"": ""3"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""2"",
    ""Devout"": ""3"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""2"",
    ""Successful"": ""2"",
    ""Clean"": ""2""
}
```",5
United States,Social Inequality,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""2"",
    ""Social Power"": ""3"",
    ""Pleasure"": ""2"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""2"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""2"",
    ""An Exciting Life"": ""2"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""2"",
    ""Wealth"": ""3"",
    ""National Security"": ""2"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""2"",
    ""Creativity"": ""2"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""3"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""2"",
    ""Detachment"": ""3"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""2"",
    ""Unity With Nature"": ""2"",
    ""A Varied Life"": ""2"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""2"",
    ""Social Justice"": ""1"",
    ""Independent"": ""2"",
    ""Moderate"": ""2"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""2"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""2"",
    ""Protecting the Environment"": ""1"",
    ""Influential"": ""2"",
    ""Honoring of Parents and Elders"": ""1"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""1"",
    ""Capable"": ""2"",
    ""Accepting my Portion in Life"": ""3"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""3"",
    ""Obedient"": ""3"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""2"",
    ""Devout"": ""3"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""1"",
    ""Successful"": ""2"",
    ""Clean"": ""2""
}
```",6
United States,Social Inequality,"```json
{
    ""Equality"": ""1"",
    ""Inner Harmony"": ""2"",
    ""Social Power"": ""4"",
    ""Pleasure"": ""2"",
    ""Freedom"": ""1"",
    ""A Spiritual Life"": ""2"",
    ""Sense of Belonging"": ""1"",
    ""Social Order"": ""2"",
    ""An Exciting Life"": ""3"",
    ""Meaning in Life"": ""1"",
    ""Politeness"": ""2"",
    ""Wealth"": ""3"",
    ""National Security"": ""2"",
    ""Self-Respect"": ""1"",
    ""Reciprocation of Favors"": ""2"",
    ""Creativity"": ""1"",
    ""A World at Peace"": ""1"",
    ""Respect for Tradition"": ""3"",
    ""Mature Love"": ""1"",
    ""Self-Discipline"": ""2"",
    ""Detachment"": ""3"",
    ""Family Security"": ""1"",
    ""Social Recognition"": ""2"",
    ""Unity With Nature"": ""2"",
    ""A Varied Life"": ""2"",
    ""Wisdom"": ""1"",
    ""Authority"": ""3"",
    ""True Friendship"": ""1"",
    ""A World of Beauty"": ""2"",
    ""Social Justice"": ""1"",
    ""Independent"": ""2"",
    ""Moderate"": ""2"",
    ""Loyal"": ""1"",
    ""Ambitious"": ""2"",
    ""Broad-Minded"": ""1"",
    ""Humble"": ""2"",
    ""Daring"": ""3"",
    ""Protecting the Environment"": ""1"",
    ""Influential"": ""3"",
    ""Honoring of Parents and Elders"": ""2"",
    ""Choosing Own Goals"": ""1"",
    ""Healthy"": ""2"",
    ""Capable"": ""2"",
    ""Accepting my Portion in Life"": ""3"",
    ""Honest"": ""1"",
    ""Preserving my Public Image"": ""3"",
    ""Obedient"": ""4"",
    ""Intelligent"": ""1"",
    ""Helpful"": ""1"",
    ""Enjoying Life"": ""2"",
    ""Devout"": ""3"",
    ""Responsible"": ""1"",
    ""Curious"": ""1"",
    ""Forgiving"": ""2"",
    ""Successful"": ""2"",
    ""Clean"": ""2""
}
```",7
